"","gene.symbol","organ.specificity.list"
"1846","MN1","Skeleton;Face;Brain/Cognition"
"1847","TFE3","Skin;Liver;Face;Brain/Cognition,Unknown"
"1848","SETD1B","Brain/Cognition"
"1849","ANAPC1","Skeleton;Multisystem;Eye;Skin;Face;Brain/Cognition;Hair/Nails;Teeth and Dentition"
"1850","MYOCD","Kidney Renal Tract;Heart/Cardiovasculature/Lymphatic"
"1851","PIGB","Peripheral nerves;Endocrine/Metabolic;Brain/Cognition"
"1852","DHX37","Brain/Cognition"
"1853","DHX16","Peripheral nerves;Brain/Cognition"
"1854","DDX54","Brain/Cognition"
"1855","DHX34","Brain/Cognition"
"1856","POU3F3","Brain/Cognition"
"1857","WDR37","Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1858","PIGU","Skeleton;Brain/Cognition"
"1859","POLR2A","Brain/Cognition"
"1860","TARS1","Skin"
"1861","NUP214","Brain/Cognition"
"1862","RINT1","Skeleton;Brain/Cognition"
"1863","TAOK1","Brain/Cognition"
"1864","DYNC1I2","Brain/Cognition"
"1865","HNRNPR","Brain/Cognition"
"1866","AP2M1","Brain/Cognition"
"1867","RRAS2","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1868","KCNN3","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1869","SMARCD1","Brain/Cognition"
"1870","CSF1R","Skeleton;Brain/Cognition"
"1871","GPC4","Skeleton;Brain/Cognition;Ear"
"1872","CACNA1B","Brain/Cognition"
"1873","CNOT1","Endocrine;Brain/Cognition,Brain/Cognition"
"1874","POLA1","Endocrine;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1875","BNC2","Kidney Renal Tract"
"1876","ACTL6B","Brain/Cognition,Brain/Cognition"
"1877","BRSK2","Brain/Cognition"
"1878","LEMD2","Skeleton;Brain/Cognition;Teeth and Dentition"
"1879","CDK8","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1880","FAM149B1","Skeleton;Brain/Cognition"
"1881","VAMP2","Brain/Cognition"
"1882","B3GAT3","Skin;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1883","ROBO4","Heart/Cardiovasculature/Lymphatic"
"1884","GOT2","Endocrine/Metabolic;Brain/Cognition"
"1885","DLL1","Brain/Cognition"
"1886","FBXW11","Skeleton;Eye;Brain/Cognition"
"1887","FAT4","Face;Brain/Cognition;Heart/Cardiovasculature/Lymphatic,Brain/Cognition"
"1888","NBAS","Bone Marrow/Immune;Liver;Skeleton;Face;Eye;Brain/Cognition"
"1889","WDFY3","Brain/Cognition"
"1890","MYRF","Respiratory tract;Genitalia;Heart/Cardiovasculature/Lymphatic"
"1891","LINGO1","Brain/Cognition"
"1892","LARGE1","Musculature;Brain/Cognition"
"1893","KCNA4","Eye;Brain/Cognition"
"1894","KCNT2","Unknown"
"1895","KIF14","Kidney Renal Tract;Skeleton;Brain/Cognition"
"1896","DACT1","Kidney Renal Tract;Spinal cord/Peripheral nerves;GI tract;Genitalia;Ear"
"1897","SMPD4","Musculature;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1898","METTL5","Brain/Cognition"
"1899","MESD","Skeleton"
"1900","APC2","Brain/Cognition"
"1901","CDH2","Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1902","NPM1","Bone Marrow/Immune;Skeleton;Brain/Cognition"
"1903","DEGS1","Skeleton;Brain/Cognition"
"1904","GRIA4","Brain/Cognition"
"1905","NUP133","Kidney Renal Tract;Brain/Cognition"
"1906","NUP107","Kidney Renal Tract;Brain/Cognition"
"1907","TP53RK","Kidney Renal Tract;Brain/Cognition"
"1908","WDR4","Kidney Renal Tract;Brain/Cognition"
"1909","TPRKB","Kidney Renal Tract;Brain/Cognition"
"1910","LAGE3","Kidney Renal Tract;Brain/Cognition"
"1911","ECHS1","Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1912","ADAMTSL2","Unknown"
"1913","NCOR1","Skeleton;Brain/Cognition"
"1914","NKAP","Skeleton;Brain/Cognition"
"1915","TMEM63A","Brain/Cognition"
"1916","IQSEC1","Skeleton;Brain/Cognition"
"1917","FOXJ1","Lungs;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1918","AP1B1","Bone Marrow/Immune;Skin;Brain/Cognition;Ear"
"1919","RPL13","Skeleton"
"1920","TUBGCP2","Brain/Cognition"
"1921","NTNG2","Brain/Cognition"
"1922","TASP1","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1923","CTU2","Kidney Renal Tract;Brain/Cognition;Genitalia;Heart/Cardiovasculature/Lymphatic"
"1924","AGO1","Unknown"
"1925","DNM1L","Unknown"
"1926","BCL11B","Unknown"
"1927","CSNK2B","Unknown"
"1928","CTBP1","Unknown"
"1929","KCND3","Unknown"
"1930","HK1","Unknown"
"1931","SPAST","Unknown"
"1932","MEIS2","Unknown"
"1933","NR4A2","Unknown"
"1934","NSD2","Unknown"
"1935","OGT","Unknown,Unknown"
"1936","PBX1","Unknown"
"1937","PRPF8","Unknown"
"1938","AP2S1","Unknown"
"1939","SYNCRIP","Unknown"
"1940","TCF7L2","Unknown"
"1941","VCP","Unknown"
"1942","ZNF292","Unknown"
"1943","DDX23","Unknown"
"1944","ARHGAP35","Unknown"
"1945","DPYSL5","Unknown"
"1946","FBXW7","Unknown"
"1947","GNB2","Unknown"
"1948","EEF2","Unknown"
"1949","MAST1","Unknown"
"1950","GIGYF1","Unknown"
"1951","RAB14","Unknown"
"1952","GRIA2","Unknown"
"1953","H2AC6","Unknown"
"1954","HNRNPD","Unknown"
"1955","U2AF2","Unknown"
"1956","ADCY5","Unknown"
"1957","MIB1","Unknown"
"1958","MSL2","Unknown"
"1959","ODC1","Unknown"
"1960","PCBP2","Unknown"
"1961","ATP6V0A1","Brain/Cognition"
"1962","KCNK3","Unknown"
"1963","SATB1","Unknown"
"1964","SPEN","Unknown"
"1965","SPTBN1","Unknown"
"1966","SRRM2","Unknown"
"1967","SRSF1","Unknown"
"1968","PSMC5","Unknown"
"1969","TRPM3","Unknown"
"1970","UPF1","Unknown"
"1971","ZFHX3","Unknown"
"1972","ZFHX4","Unknown"
"1973","ZMYM2","Unknown"
"1974","ZNF148","Unknown"
"1975","ARHGEF9","Unknown"
"1976","CUL3","Unknown"
"1977","USP7","Unknown"
"1978","OXR1","Brain/Cognition"
"1979","CHRNA3","Kidney Renal Tract"
"1980","GRID2","Unknown,Unknown"
"1981","NDNF","Endocrine/Metabolic;Genitalia"
"1982","NDUFAF8","Endocrine/Metabolic;Brain/Cognition"
"1983","PPP1R12A","Brain/Cognition;Genitalia"
"1984","NADSYN1","Kidney Renal Tract;Skeleton;Heart/Cardiovasculature/Lymphatic"
"1985","COL27A1","Skeleton"
"1986","BCORL1","Brain/Cognition"
"1987","ANK2","Brain/Cognition"
"1988","UQCRFS1","Bone Marrow/Immune;Endocrine/Metabolic;Hair/Nails;Heart/Cardiovasculature/Lymphatic"
"1989","POLR3GL","Skeleton;Endocrine/Metabolic;Teeth and Dentition"
"1990","UGP2","Eye;Brain/Cognition"
"1991","TTC12","Lungs;Genitalia"
"1992","TET3","Brain/Cognition,Unknown"
"1993","RALGAPA1","Brain/Cognition"
"1994","TKFC","Eye;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"1995","CDC42BPB","Brain/Cognition"
"1996","CDC42","Bone Marrow/Immune;Brain/Cognition"
"1997","RALA","Brain/Cognition"
"1998","SLC5A6","Unknown"
"1999","SPOP","Brain/Cognition,Brain/Cognition"
"2000","METTL23","Brain/Cognition"
"2001","RARS1","Brain/Cognition"
"2002","TMEM106B","Brain/Cognition"
"2003","POLR1C","Face;Brain/Cognition;Ear"
"2004","SLC25A1","Brain/Cognition"
"2005","ADARB1","Brain/Cognition"
"2006","PIGK","Brain/Cognition"
"2007","SEMA6B","Unknown"
"2008","NRROS","Brain/Cognition"
"2009","EIF2AK1","Brain/Cognition"
"2010","EIF2AK2","Brain/Cognition"
"2011","RSRC1","Brain/Cognition"
"2012","OCLN","Brain/Cognition"
"2013","KATNB1","Brain/Cognition"
"2014","PIGH","Brain/Cognition"
"2015","PUS1","Unknown"
"2016","YARS2","Unknown"
"2017","CCDC32","Unknown"
"2018","MED25","Unknown"
"2019","ARNT2","Unknown"
"2020","SIAH1","Unknown"
"2021","TTC5","Unknown"
"2022","CDK19","Unknown"
"2023","B4GALT1","Unknown"
"2024","MAU2","Brain/Cognition"
"2025","GTPBP2","Brain/Cognition"
"2026","TRIM8","Kidney Renal Tract;Brain/Cognition"
"2027","SOX6","Brain/Cognition"
"2028","RIMS2","Eye;Brain/Cognition"
"2029","KIF3B","Eye;Brain/Cognition"
"2030","HNRNPH1","Brain/Cognition"
"2031","MYL1","Spinal cord/Peripheral nerves"
"2032","MPZ","Spinal cord/Peripheral nerves"
"2033","ABAT","Brain/Cognition"
"2034","ECM1","Brain/Cognition"
"2035","EIF2B4","Brain/Cognition"
"2036","EIF2B5","Brain/Cognition"
"2037","LMOD3","Musculature"
"2038","MYBPC1","Musculature,Musculature"
"2039","MYO18B","Musculature;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2040","PNPLA6","Endocrine/Metabolic;Brain/Cognition"
"2041","SELENON","Musculature"
"2042","SPTBN4","Musculature;Spinal cord/Peripheral nerves;Brain/Cognition"
"2043","ARF1","Brain/Cognition"
"2044","CAMK2G","Brain/Cognition"
"2045","GATA3","Kidney Renal Tract;Endocrine/Metabolic;Ear"
"2046","KLF7","Brain/Cognition"
"2047","AGTPBP1","Spinal cord/Peripheral nerves;Brain/Cognition"
"2048","CUX1","Brain/Cognition"
"2049","CYFIP2","Skin;Brain/Cognition"
"2050","EFEMP2","Skin;Heart/Cardiovasculature/Lymphatic"
"2051","EPCAM","GI tract"
"2052","GEMIN4","Eye;Brain/Cognition"
"2053","HERC1","Brain/Cognition"
"2054","MFF","Peripheral nerves;Eye;Brain/Cognition"
"2055","MRAS","Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2056","PCDH12","Brain/Cognition"
"2057","PIBF1","Brain/Cognition"
"2058","PTRH2","Endocrine/Metabolic;Brain/Cognition"
"2059","RPL10","Brain/Cognition"
"2060","RPL26","Kidney Renal Tract;Face;Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2061","RPS26","Kidney Renal Tract;Face;Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2062","TRMT10A","Endocrine/Metabolic;Brain/Cognition"
"2063","WFS1","Endocrine/Metabolic;Eye;Brain/Cognition;Ear,Endocrine/Metabolic;Eye;Brain/Cognition;Ear"
"2064","ZNF142","Brain/Cognition"
"2065","SUPT16H","Skin;Skeleton;Brain/Cognition"
"2066","TBC1D2B","Brain/Cognition"
"2067","DSP","Unknown"
"2068","MFN2","Unknown"
"2069","MMGT1","Unknown"
"2070","PRKAR1B","Unknown"
"2071","ATP1A2","Unknown,Unknown,Unknown"
"2072","DISP1","Unknown"
"2073","TANC2","Unknown"
"2074","CHD1","Brain/Cognition"
"2075","RBFOX1","Brain/Cognition"
"2076","CNNM2","Endocrine/Metabolic;Brain/Cognition,Endocrine/Metabolic;Brain/Cognition"
"2077","CTNND2","Brain/Cognition"
"2078","FGF14","Brain/Cognition"
"2079","ZNF407","Brain/Cognition"
"2080","TOGARAM1","Kidney Renal Tract;Brain/Cognition"
"2081","MADD","Bone Marrow/Immune;Endocrine;Brain/Cognition"
"2082","NARS1","Spinal cord/Peripheral nerves;Brain/Cognition,Spinal cord/Peripheral nerves;Brain/Cognition"
"2083","MYL11","Musculature,Musculature"
"2084","HPDL","Brain/Cognition"
"2085","GREB1L","Kidney Renal Tract"
"2086","NDUFA8","Brain/Cognition"
"2087","ZBTB7A","Unknown"
"2088","SLC9A7","Brain/Cognition"
"2089","MAPK1","Brain/Cognition"
"2090","SCAF4","Brain/Cognition"
"2091","KAT5","Brain/Cognition"
"2092","ASNS","Spinal cord/Peripheral nerves;Brain/Cognition"
"2093","POMK","Musculature;Brain/Cognition"
"2094","DLG5","Unknown,Unknown"
"2095","PPP1R21","Unknown"
"2096","TRAPPC4","Unknown"
"2097","SHMT2","Unknown"
"2098","LMNB1","Unknown"
"2099","TNRC6B","Unknown"
"2100","SYT2","Unknown"
"2101","PPP1R13L","Unknown"
"2102","RAP1B","Unknown"
"2103","PRIM1","Bone Marrow/Immune;Endocrine;Liver;Brain/Cognition"
"2104","LMNB2","Brain/Cognition"
"2105","NUDT2","Peripheral nerves;Brain/Cognition"
"2106","JARID2","Brain/Cognition"
"2107","FOXP4","Brain/Cognition"
"2108","ATP6V0C","Brain/Cognition"
"2109","NAPB","Brain/Cognition"
"2110","NCKAP1","Brain/Cognition"
"2111","PRKACA","Skeleton"
"2112","PRKACB","Skeleton;Brain/Cognition"
"2113","KDELR2","Skeleton"
"2114","COX16","Liver;Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2115","P4HTM","Brain/Cognition"
"2116","PPIL1","Brain/Cognition"
"2117","CDC40","Brain/Cognition"
"2118","HS2ST1","Unknown"
"2119","CLCN6","Unknown"
"2120","UNC45B","Unknown"
"2121","BICRA","Unknown"
"2122","VPS4A","Unknown,Unknown"
"2123","KDM4B","Unknown"
"2124","SMG8","Unknown"
"2125","FBXO28","Unknown"
"2126","PIDD1","Brain/Cognition"
"2127","HIRA","Brain/Cognition"
"2128","FGF13","Brain/Cognition,Brain/Cognition"
"2129","MED27","Brain/Cognition"
"2130","SCUBE3","Skeleton;Teeth and Dentition"
"2131","CELF2","Brain/Cognition"
"2132","LYSET","Brain/Cognition"
"2133","STRADA","Brain/Cognition"
"2134","EIF5A","Brain/Cognition"
"2135","EMC10","Brain/Cognition"
"2136","BRF1","Brain/Cognition"
"2137","TPP2","Bone Marrow/Immune;Brain/Cognition"
"2138","PRDM15","Kidney Renal Tract;Eye;Brain/Cognition"
"2139","CHRNB1","Musculature,Musculature"
"2140","SEMA3A","Skeleton;Brain/Cognition"
"2141","COPB1","Eye;Brain/Cognition"
"2142","MYSM1","Bone Marrow/Immune;Brain/Cognition"
"2143","NFE2L2","Bone Marrow/Immune;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2144","SARS2","Kidney Renal Tract;Heart/Cardiovasculature/Lymphatic"
"2145","HACD1","Musculature"
"2146","NCDN","Brain/Cognition,Brain/Cognition"
"2147","DDB1","Brain/Cognition"
"2148","ANO1","GI tract"
"2149","NDUFB7","Endocrine/Metabolic;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2150","UBE4A","Brain/Cognition"
"2151","MAPKAPK5","Skeleton;Brain/Cognition;Heart/Cardiovasculature/Lymphatic"
"2152","CSDE1","Brain/Cognition"
"2153","ANKRD17","Brain/Cognition"
"2154","CHD5","Brain/Cognition"
"2155","GEMIN5","Brain/Cognition"
"2156","SLC25A42","Brain/Cognition"
"2157","COPB2","Brain/Cognition,Unknown"
"2158","PLXNA1","Brain/Cognition,Brain/Cognition"
"2159","MT-TL1","Brain/Cognition"
"2160","TRAPPC10","Brain/Cognition"
"2161","PI4KA","Brain/Cognition"
"2162","GRIA1","Brain/Cognition"
"2163","TNNT3","Musculature"
"2164","TMEM240","Brain/Cognition"
"2165","STAC3","Musculature"
"2166","SOS2","Unknown"
"2167","NDUFB3","Unknown"
"2168","KIF5A","Unknown"
"2169","GBE1","Unknown"
"2170","COL6A2","Unknown,Unknown"
"2171","ARFGEF1","Unknown"
"2172","JAG2","Musculature"
"2173","SIN3B","Unknown"
"2174","BCAS3","Unknown"
"2175","LTBP1","Unknown"
"2176","IPO8","Unknown"
"2177","PGM2L1","Unknown"
"2178","HERC2","Unknown"
"2179","ALDH1A2","Unknown"
"2180","POU4F1","Unknown"
"2181","NDUFA12","Unknown"
"2182","THG1L","Unknown"
"2183","RNPC3","Unknown"
"2184","PDIA6","Unknown"
"2185","UFSP2","Unknown"
"2186","IFT74","Unknown"
"2187","AFG3L2","Unknown"
"2188","GLRA1","Unknown,Unknown"
"2189","GLRB","Unknown,Unknown"
"2190","GPHN","Unknown"
"2191","KCNA1","Unknown,Unknown"
"2192","PNPO","Unknown"
"2193","PAX1","Bone Marrow/Immune;Face;Ear"
"2194","NAA20","Unknown"
"2195","CEP85L","Unknown"
"2196","NSRP1","Unknown"
"2197","WDR11","Unknown"
"2198","NARS2","Unknown"
"2199","PUS3","Unknown"
"2200","ATG7","Unknown"
"2201","TP73","Unknown"
"2202","AP1G1","Unknown,Unknown"
"2203","EDEM3","Unknown"
"2204","CLCN3","Unknown,Unknown"
"2205","TNPO2","Unknown"
"2206","ZFYVE19","Unknown"
"2207","TRAPPC2L","Unknown"
"2208","RNU12","Unknown"
"2209","TMEM222","Unknown"
"2210","ELFN1","Unknown"
"2211","OGDH","Unknown"
"2212","RYR2","Unknown"
"2213","SERAC1","Unknown"
"2214","YRDC","Unknown"
"2215","SLC38A3","Unknown"
"2216","ONECUT1","Unknown"
"2217","WASHC5","Unknown"
"2218","SPATA5L1","Brain/Cognition;Ear"
"2219","ABHD16A","Unknown"
"2220","LMBRD2","Unknown"
"2221","CHRM1","Unknown"
"2222","HMGB1","Unknown,Unknown"
"2223","NHLRC2","Unknown"
"2224","RBBP8","Unknown"
"2225","GDF11","Unknown"
"2226","ATP5F1A","Unknown,Unknown"
"2227","AKT2","Unknown"
"2228","RNF125","Unknown"
"2229","ALKBH8","Unknown"
"2230","FZR1","Unknown"
"2231","SPRED2","Unknown"
"2232","PRORP","Unknown"
"2233","GOLGA2","Unknown"
"2234","PCDHGC4","Unknown"
"2235","ACER3","Unknown"
"2236","HYAL2","Unknown"
"2237","DYNC2LI1","Unknown"
"2238","OGDHL","Unknown"
"2239","SARS1","Unknown,Unknown"
"2240","CDH11","Unknown"
"2241","SLIRP","Unknown"
"2242","PRKG2","Unknown"
"2243","ARPC4","Unknown"
"2244","CPSF3","Unknown"
"2245","GNE","Unknown,Unknown"
"2246","MAN2C1","Unknown"
"2247","BAP1","Unknown"
"2248","TPM3","Unknown"
"2249","THUMPD1","Unknown"
"2250","NRCAM","Unknown"
"2251","RORB","Brain/Cognition"
"2252","USP14","Unknown"
"2253","H3-3B","Unknown"
"2254","NDUFV2","Unknown"
"2255","PLCH1","Unknown"
"2256","DNAH14","Unknown"
"2257","MMP15","Unknown"
"2258","DPH5","Unknown"
"2259","HNRNPA2B1","Unknown"
"2260","PRDM13","Unknown"
"2261","ATP2B1","Unknown"
"2262","HAAO","Unknown"
"2263","UNC45A","Unknown"
"2264","FKBP10","Unknown"
"2265","WNK3","Unknown"
"2266","PAN2","Unknown"
"2267","CLDN5","Unknown"
"2268","PPFIBP1","Unknown"
"2269","ATP9A","Unknown"
"2270","SLC32A1","Unknown"
"2271","TMEM63C","Unknown"
"2272","ADAM22","Unknown"
"2273","CHKA","Unknown"
"2274","DOHH","Unknown"
"2275","FRA10AC1","Unknown"
"2276","PSMC1","Unknown"
"2277","TMEM218","Unknown"
"2278","PRDX3","Unknown"
"2279","TAF8","Unknown"
"2280","MED11","Unknown"
"2281","TAF4","Unknown"
"2282","UBAP2L","Unknown"
"2283","GABBR1","Unknown"
"2284","MTSS2","Unknown"
"2285","GABRG1","Unknown"
"2286","RRM1","Unknown,Unknown"
"2287","ZMYND8","Unknown"
"2288","TMEM163","Unknown"
"2289","GRM7","Unknown"
"2290","TMEM147","Unknown"
"2291","PROSER1","Unknown"
"2292","BUB1","Unknown"
"2293","IREB2","Unknown"
"2294","WARS1","Unknown,Unknown"
"2295","SLC13A1","Unknown"
"2296","MYCBP2","Unknown"
"2297","EXOSC2","Unknown"
"2298","DNAJB4","Unknown"
"2299","FOXI3","Unknown"
"2300","DAW1","Unknown"
"2301","SCNM1","Unknown"
"2302","LETM1","Unknown"
"2303","FRMD5","Unknown"
"2304","SLC35B2","Unknown"
"2305","ATL1","Unknown"
"2306","TRPC5","Unknown"
"2307","NUP54","Unknown"
"2308","WDR5","Unknown"
"2309","TRA2B","Unknown"
"2310","CAMSAP1","Unknown"
"2311","MAN2A2","Unknown"
"2312","SLC30A7","Unknown"
"2313","BAZ2B","Unknown"
"2314","NAE1","Unknown"
"2315","ZMYM3","Unknown"
"2316","JMJD1C","Unknown"
"2317","ATG4D","Unknown"
"2318","AMOTL1","Unknown"
"2319","FXR1","Unknown"
"2320","SPRY1","Unknown"
"2321","GTF2IRD1","Unknown"
"2322","OTUD5","Unknown"
"2323","KDM2B","Unknown"
"2324","SLC1A4","Unknown"
"2325","ARF3","Unknown"
"2326","SLF2","Unknown"
"2327","SMC5","Unknown"
"2328","FEM1C","Unknown"
"2329","TCEAL1","Unknown"
"2330","REST","Unknown"
"2331","UHRF1","Unknown"
"2332","MPC2","Unknown"
"2333","CRLS1","Unknown"
"2334","BSN","Unknown,Unknown"
"2335","CACNA2D1","Unknown"
"2336","KIF5B","Unknown"
"2337","PIGP","Unknown"
"2338","STX1A","Unknown,Unknown"
"2339","PLAG1","Unknown"
"2340","LEF1","Unknown"
"2341","EIF4A2","Unknown,Unknown"
"2342","TTI1","Unknown"
"2343","YWHAE","Unknown"
"2344","GABRA2","Unknown"
"2345","LMOD2","Unknown"
"2346","TSPEAR","Unknown"
